Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,2340.000000,2350.000000,2300.000000,2320.000000,2303.260010,109175800
2021-04-16,2340.000000,2420.000000,2310.000000,2390.000000,2390.000000,173387400
2021-04-19,2350.000000,2370.000000,2300.000000,2340.000000,2340.000000,91552300
2021-04-20,2330.000000,2360.000000,2300.000000,2350.000000,2350.000000,60372200
2021-04-21,2320.000000,2400.000000,2300.000000,2370.000000,2370.000000,112742900
2021-04-22,2380.000000,2440.000000,2350.000000,2350.000000,2350.000000,119644900
2021-04-23,2320.000000,2340.000000,2310.000000,2320.000000,2320.000000,41022800
2021-04-26,2350.000000,2420.000000,2340.000000,2390.000000,2390.000000,139616000
2021-04-27,2410.000000,2430.000000,2360.000000,2390.000000,2390.000000,96606300
2021-04-28,2380.000000,2430.000000,2350.000000,2430.000000,2430.000000,138325400
2021-04-29,2460.000000,2540.000000,2460.000000,2510.000000,2510.000000,325392600
2021-04-30,2490.000000,2500.000000,2440.000000,2490.000000,2490.000000,124672100
2021-05-03,2500.000000,2560.000000,2480.000000,2520.000000,2520.000000,171047200
2021-05-04,2540.000000,2640.000000,2500.000000,2620.000000,2620.000000,284137700
2021-05-05,2620.000000,2640.000000,2560.000000,2630.000000,2630.000000,180649900
2021-05-06,2610.000000,2670.000000,2580.000000,2620.000000,2620.000000,150793800
2021-05-07,2630.000000,2650.000000,2610.000000,2620.000000,2620.000000,133080200
2021-05-10,2640.000000,2700.000000,2620.000000,2680.000000,2680.000000,157887500
2021-05-11,2600.000000,2690.000000,2600.000000,2670.000000,2670.000000,164247600
2021-05-17,2670.000000,2670.000000,2500.000000,2510.000000,2510.000000,185205000
2021-05-18,2560.000000,2640.000000,2540.000000,2600.000000,2600.000000,179403400
2021-05-19,2580.000000,2640.000000,2530.000000,2550.000000,2550.000000,111892800
2021-05-20,2510.000000,2520.000000,2420.000000,2420.000000,2420.000000,214175900
2021-05-21,2420.000000,2440.000000,2310.000000,2330.000000,2330.000000,147528900
2021-05-24,2360.000000,2390.000000,2250.000000,2270.000000,2270.000000,128408600
2021-05-25,2310.000000,2410.000000,2310.000000,2330.000000,2330.000000,186483800
2021-05-27,2340.000000,2390.000000,2330.000000,2390.000000,2390.000000,148943500
2021-05-28,2470.000000,2500.000000,2430.000000,2460.000000,2460.000000,118544200
2021-05-31,2480.000000,2480.000000,2410.000000,2450.000000,2450.000000,57366900
2021-06-02,2460.000000,2550.000000,2440.000000,2550.000000,2550.000000,125654100
2021-06-03,2540.000000,2600.000000,2500.000000,2520.000000,2520.000000,131141700
2021-06-04,2480.000000,2480.000000,2410.000000,2430.000000,2430.000000,160479400
2021-06-07,2450.000000,2450.000000,2370.000000,2380.000000,2380.000000,62115900
2021-06-08,2390.000000,2420.000000,2350.000000,2350.000000,2350.000000,58838700
2021-06-09,2380.000000,2480.000000,2370.000000,2460.000000,2460.000000,117338500
2021-06-10,2440.000000,2480.000000,2420.000000,2420.000000,2420.000000,79751900
2021-06-11,2460.000000,2500.000000,2440.000000,2480.000000,2480.000000,94696000
2021-06-14,2470.000000,2470.000000,2400.000000,2410.000000,2410.000000,64557400
2021-06-15,2390.000000,2390.000000,2340.000000,2360.000000,2360.000000,84189100
2021-06-16,2330.000000,2360.000000,2300.000000,2320.000000,2320.000000,77248800
2021-06-17,2290.000000,2350.000000,2260.000000,2330.000000,2330.000000,74868000
2021-06-18,2300.000000,2320.000000,2210.000000,2230.000000,2230.000000,125507700
2021-06-21,2190.000000,2250.000000,2130.000000,2200.000000,2200.000000,100386700
2021-06-22,2250.000000,2300.000000,2220.000000,2260.000000,2260.000000,97671600
2021-06-23,2280.000000,2310.000000,2240.000000,2250.000000,2250.000000,64275900
2021-06-24,2280.000000,2290.000000,2240.000000,2250.000000,2250.000000,59257500
2021-06-25,2310.000000,2340.000000,2280.000000,2300.000000,2300.000000,90478300
2021-06-28,2310.000000,2310.000000,2230.000000,2240.000000,2240.000000,65985000
2021-06-29,2230.000000,2250.000000,2210.000000,2220.000000,2220.000000,55524500
2021-06-30,2240.000000,2310.000000,2230.000000,2300.000000,2300.000000,95174800
2021-07-01,2280.000000,2310.000000,2200.000000,2230.000000,2230.000000,89606900
2021-07-02,2230.000000,2250.000000,2190.000000,2220.000000,2220.000000,57200500
2021-07-05,2230.000000,2260.000000,2220.000000,2240.000000,2240.000000,60698700
2021-07-06,2250.000000,2510.000000,2240.000000,2480.000000,2480.000000,365880400
2021-07-07,2450.000000,2470.000000,2380.000000,2460.000000,2460.000000,146473200
2021-07-08,2460.000000,2610.000000,2460.000000,2550.000000,2550.000000,227835500
2021-07-09,2560.000000,2630.000000,2530.000000,2590.000000,2590.000000,185723500
2021-07-12,2610.000000,2670.000000,2520.000000,2550.000000,2550.000000,176941700
2021-07-13,2560.000000,2610.000000,2500.000000,2540.000000,2540.000000,128321100
2021-07-14,2540.000000,2600.000000,2500.000000,2590.000000,2590.000000,73148100
2021-07-15,2580.000000,2630.000000,2560.000000,2610.000000,2610.000000,107128500
2021-07-16,2630.000000,2690.000000,2610.000000,2620.000000,2620.000000,171972500
2021-07-19,2630.000000,2670.000000,2610.000000,2640.000000,2640.000000,74138600
2021-07-21,2620.000000,2640.000000,2540.000000,2560.000000,2560.000000,99038100
2021-07-22,2560.000000,2600.000000,2560.000000,2570.000000,2570.000000,59407500
2021-07-23,2600.000000,2670.000000,2600.000000,2620.000000,2620.000000,130437900
2021-07-26,2660.000000,2730.000000,2610.000000,2630.000000,2630.000000,223203900
2021-07-27,2670.000000,2680.000000,2510.000000,2530.000000,2530.000000,126951200
2021-07-28,2540.000000,2590.000000,2500.000000,2520.000000,2520.000000,64034100
2021-07-29,2550.000000,2600.000000,2500.000000,2590.000000,2590.000000,90764300
2021-07-30,2590.000000,2590.000000,2510.000000,2520.000000,2520.000000,90628600
2021-08-02,2520.000000,2520.000000,2440.000000,2510.000000,2510.000000,79180000
2021-08-03,2490.000000,2520.000000,2440.000000,2470.000000,2470.000000,79440900
2021-08-04,2460.000000,2460.000000,2410.000000,2420.000000,2420.000000,75331700
2021-08-05,2420.000000,2430.000000,2340.000000,2370.000000,2370.000000,105003300
2021-08-06,2380.000000,2410.000000,2320.000000,2330.000000,2330.000000,73813800
2021-08-09,2300.000000,2310.000000,2250.000000,2260.000000,2260.000000,118970000
2021-08-10,2270.000000,2370.000000,2240.000000,2340.000000,2340.000000,131980200
2021-08-12,2400.000000,2430.000000,2380.000000,2400.000000,2400.000000,127108900
2021-08-13,2410.000000,2410.000000,2350.000000,2380.000000,2380.000000,66587000
2021-08-16,2370.000000,2400.000000,2350.000000,2390.000000,2390.000000,48998000
2021-08-18,2390.000000,2420.000000,2360.000000,2400.000000,2400.000000,85335000
2021-08-19,2380.000000,2380.000000,2270.000000,2270.000000,2270.000000,131304600
2021-08-20,2240.000000,2320.000000,2240.000000,2280.000000,2280.000000,71969400
2021-08-23,2310.000000,2330.000000,2280.000000,2290.000000,2290.000000,65261800
2021-08-24,2330.000000,2330.000000,2270.000000,2270.000000,2270.000000,43554200
2021-08-25,2290.000000,2340.000000,2280.000000,2300.000000,2300.000000,61473600
2021-08-26,2300.000000,2310.000000,2270.000000,2270.000000,2270.000000,30446800
2021-08-27,2270.000000,2290.000000,2250.000000,2260.000000,2260.000000,31806000
