Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,5950.000000,6025.000000,5900.000000,5975.000000,5866.749512,17975900
2021-04-16,6025.000000,6050.000000,5875.000000,5950.000000,5842.202148,17665900
2021-04-19,5900.000000,5975.000000,5825.000000,5875.000000,5768.561035,11917800
2021-04-20,5875.000000,5925.000000,5800.000000,5925.000000,5817.655273,8272500
2021-04-21,5875.000000,5875.000000,5750.000000,5775.000000,5670.373047,13227700
2021-04-22,5800.000000,5825.000000,5650.000000,5675.000000,5572.184570,28608300
2021-04-23,5675.000000,5800.000000,5675.000000,5775.000000,5670.373047,18785800
2021-04-26,5850.000000,5850.000000,5700.000000,5725.000000,5621.278809,14881100
2021-04-27,5800.000000,5900.000000,5750.000000,5900.000000,5793.108398,30800700
2021-04-28,5900.000000,5900.000000,5800.000000,5825.000000,5719.466797,17430900
2021-04-29,5875.000000,5925.000000,5825.000000,5875.000000,5768.561035,11297100
2021-04-30,5875.000000,5875.000000,5650.000000,5700.000000,5596.731445,25905700
2021-05-03,5700.000000,5725.000000,5550.000000,5575.000000,5473.996094,23712200
2021-05-04,5575.000000,5625.000000,5525.000000,5625.000000,5523.090332,17240600
2021-05-05,5650.000000,5725.000000,5600.000000,5675.000000,5572.184570,19015900
2021-05-06,5750.000000,5775.000000,5675.000000,5700.000000,5596.731445,15392600
2021-05-07,5750.000000,5750.000000,5600.000000,5600.000000,5498.543457,14552500
2021-05-10,5600.000000,5650.000000,5550.000000,5575.000000,5473.996094,14191000
2021-05-11,5575.000000,5575.000000,5500.000000,5525.000000,5424.902344,12561400
2021-05-17,5575.000000,5650.000000,5450.000000,5500.000000,5400.354980,26889300
2021-05-18,5500.000000,5550.000000,5400.000000,5450.000000,5351.261230,13030600
2021-05-19,5400.000000,5425.000000,5200.000000,5250.000000,5154.884277,29198100
2021-05-20,5200.000000,5325.000000,5175.000000,5250.000000,5154.884277,23664700
2021-05-21,5300.000000,5400.000000,5250.000000,5325.000000,5228.525879,25857300
2021-05-24,5375.000000,5375.000000,5300.000000,5300.000000,5203.978516,14545100
2021-05-25,5300.000000,5500.000000,5300.000000,5325.000000,5228.525879,23942300
2021-05-27,5375.000000,5500.000000,5150.000000,5150.000000,5056.696289,80849500
2021-05-28,5275.000000,5300.000000,5200.000000,5200.000000,5105.790527,21585600
2021-05-31,5225.000000,5500.000000,5200.000000,5400.000000,5302.166992,34768100
2021-06-02,5500.000000,5575.000000,5425.000000,5550.000000,5449.449219,38318100
2021-06-03,5575.000000,5750.000000,5475.000000,5750.000000,5645.825684,27426300
2021-06-04,5700.000000,5750.000000,5600.000000,5625.000000,5523.090332,30124500
2021-06-07,5625.000000,5650.000000,5475.000000,5525.000000,5424.902344,14641100
2021-06-08,5550.000000,5575.000000,5475.000000,5525.000000,5424.902344,19537100
2021-06-09,5575.000000,5650.000000,5500.000000,5625.000000,5523.090332,15525600
2021-06-10,5650.000000,5700.000000,5600.000000,5675.000000,5572.184570,18488600
2021-06-11,5675.000000,5700.000000,5600.000000,5675.000000,5572.184570,18604400
2021-06-14,5675.000000,5675.000000,5525.000000,5550.000000,5449.449219,18526400
2021-06-15,5550.000000,5575.000000,5500.000000,5525.000000,5424.902344,14249500
2021-06-16,5500.000000,5525.000000,5325.000000,5375.000000,5277.619629,20897100
2021-06-17,5350.000000,5350.000000,5225.000000,5250.000000,5154.884277,25662300
2021-06-18,5225.000000,5225.000000,4890.000000,4940.000000,4850.500977,154778500
2021-06-21,4890.000000,4990.000000,4780.000000,4970.000000,4879.957031,53189200
2021-06-22,5000.000000,5025.000000,4910.000000,4950.000000,4860.319824,36788600
2021-06-23,4970.000000,4970.000000,4850.000000,4850.000000,4762.131348,39575400
2021-06-24,4850.000000,4890.000000,4790.000000,4820.000000,4732.674805,29244100
2021-06-25,4820.000000,4880.000000,4760.000000,4760.000000,4673.761719,27935600
2021-06-28,4750.000000,4750.000000,4580.000000,4580.000000,4497.022949,53977800
2021-06-29,4580.000000,4660.000000,4560.000000,4580.000000,4497.022949,25530800
2021-06-30,4580.000000,4680.000000,4580.000000,4630.000000,4546.117188,37644700
2021-07-01,4630.000000,4780.000000,4630.000000,4700.000000,4614.849121,29447700
2021-07-02,4700.000000,4860.000000,4700.000000,4830.000000,4742.493652,35035500
2021-07-05,4830.000000,4840.000000,4700.000000,4720.000000,4634.486816,24799700
2021-07-06,4730.000000,4750.000000,4680.000000,4710.000000,4624.667969,26918200
2021-07-07,4710.000000,4760.000000,4680.000000,4730.000000,4644.305176,20007900
2021-07-08,4750.000000,4830.000000,4720.000000,4760.000000,4673.761719,25201000
2021-07-09,4760.000000,4760.000000,4620.000000,4640.000000,4555.936035,28321000
2021-07-12,4650.000000,4710.000000,4600.000000,4700.000000,4614.849121,25159100
2021-07-13,4720.000000,4750.000000,4640.000000,4670.000000,4585.392578,17625700
2021-07-14,4620.000000,4640.000000,4560.000000,4580.000000,4497.022949,23833300
2021-07-15,4580.000000,4770.000000,4580.000000,4720.000000,4634.486816,34713500
2021-07-16,4750.000000,4830.000000,4740.000000,4810.000000,4722.855957,26047700
